Título,Año y Kms,Ubicación,Precio,Marca,Modelo,Subtipo,Recorrido,Climatización,Tracción,Color,Placa Número,Vidrios,Transmisión,Dirección,Motor,Tapizado,Combustible,Placa,Imagen URL
2023 · Shineray X30 CARGO,202319000 Kms · Quito,Negociable,$ 10.500,Shineray,X30 CARGO,Van de Carga,19000 Kms,Aire Acondicionado,4 x 2,Blanco,1,Eléctricos,Manual,Hidráulica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025122/1877036/o_o/1877036_1737584313035_4.jpg
2019 · Chevrolet Camaro,201958000 Kms · Quito,Negociable,$ 62.900,Chevrolet,Camaro,Coupé,58000 Kms,Aire Acondicionado,4 x 2,Blanco,8,Eléctricos,Manual,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876580/o_o/pt_1876580_6982986.jpg
Great Wall HAVAL H6 LUXURY HÍBRIDO,2023 33400 Kms.,Negociable,$ 24.800,Great Wall,HAVAL H6 LUXURY HÍBRIDO,SUV,33400 Kms,Climatizador Bi-Zona,4 x 2,Negro,6,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877410/o_o/pt_1877410_13538464.jpg
Hyundai Tucson IX,2014 108000 Kms.,Fijo,$ 14.900,Hyundai,Tucson IX,Todoterreno,108000 Kms,Aire Acondicionado,4 x 2,Negro,0,Eléctricos,Automática,Hidráulica,2000,Tela,Gasolina,Chimborazo,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877437/o_o/pt_1877437_6791446.jpeg
Suzuki Grand Vitara SZ 2.4,2018 132000 Kms.,Negociable,$ 13.900,Suzuki,Grand Vitara SZ 2.4,Todoterreno,132000 Kms,Aire Acondicionado,4 x 2,Rojo,0,Eléctricos,Manual,Hidráulica,2400,Tela,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877434/o_o/pt_1877434_6467818.jpg
Chery TIGGO 8,2022 53500 Kms.,Negociable,$ 16.500,Chery,TIGGO 8,Todoterreno,53500 Kms,Aire Acondicionado,4 x 2,Rojo,0,Eléctricos,Manual,Hidráulica,1500,Corosil,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877381/o_o/1877381_1737736228145_823.jpeg
Suzuki SCROSS BOOSTERJET GL,2023 43000 Kms.,Negociable,$ 21.400,Suzuki,SCROSS BOOSTERJET GL,SUV,43000 Kms,Aire Acondicionado,4 x 2,Negro,3,Eléctricos,Manual,Hidráulica,1400,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877429/o_o/pt_1877429_5417757.jpeg
Dodge Durango,2015 0 Kms.,Negociable,$ 23.900,Dodge,Durango,Todoterreno,116000 Millas,Aire Acondicionado,4 x 2,Plata,1,Eléctricos,Automática,Hidráulica,3600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877425/o_o/pt_1877425_3498834.jpeg
Kia Stonic LX,2021 62000 Kms.,Negociable,$ 13.500,Kia,Stonic LX,Crossover,62000 Kms,Aire Acondicionado,4 x 2,Plomo,1,Eléctricos,Manual,Hidráulica,1.0,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877445/o_o/pt_1877445_9872510.jpeg
Mazda CX-3,2017 74000 Kms.,Negociable,$ 17.400,Mazda,CX-3,,,,,,,,,,,,,,
Mazda CX3 CORE,2017 2017 Kms.,Negociable,$ 17.400,Mazda,CX3 CORE,,,,,,,,,,,,,,
Hyundai Tucson,2024 125 Kms.,Negociable,$ 32.900,Hyundai,Tucson,Todoterreno,125 Kms,Aire Acondicionado,4 x 2,Negro,8,Eléctricos,Automática,Asistida,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/5122024/1869285/o_o/1869285_1733430104942_278.jpg
Kia Sportage,2017 73000 Kms.,Negociable,$ 16.400,Kia,Sportage,,,,,,,,,,,,,,
Kia Sportage Active,2017 73000 Kms.,Negociable,$ 16.400,Kia,Sportage Active,,,,,,,,,,,,,,
Chevrolet Captiva,2023 11000 Kms.,Negociable,$ 18.400,Chevrolet,Captiva,,,,,,,,,,,,,,
Chevrolet Captiva Premier,2023 11000 Kms.,Negociable,$ 18.400,Chevrolet,Captiva Premier,,,,,,,,,,,,,,
Mini COOPER SE HATCH,2020 40000 Kms.,Negociable,$ 29.900,Mini,COOPER SE HATCH,,,,,,,,,,,,,,
Kia SOUL EV,2016 1400 Kms.,Negociable,$ 12.900,Kia,SOUL EV,SUV,1400 Kms,Aire Acondicionado,4 x 2,Blanco,7,Eléctricos,Automática,Asistida,,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20112024/1866222/o_o/1866222_1732114589230_889.jpg
